Date,Position,Action,CE_Time,PE_Time,Index Value,CE_OTM,PE_OTM,Exit,ExpiryDate,DaysToExpiry,CE_OTM_Premium,PE_OTM_Premium,EXIT_TYPE,Premium
2024-06-07,1,Short,09:25:00,09:25:00,22923.4,23600,22200,,2024-06-13,4,18.55,45.0,,63.55
2024-06-07,0,Long,15:29:00,15:29:00,22923.4,23600,22200,,2024-06-13,4,0.05,0.05,Time Exit,-0.1
2024-06-10,1,Short,09:25:00,09:25:00,23385.15,24100,22700,,2024-06-13,3,19.95,46.85,,66.8
2024-06-10,0,Long,15:29:00,15:29:00,23385.15,24100,22700,,2024-06-13,3,0.05,0.05,Time Exit,-0.1
2024-06-11,1,Short,09:25:00,09:25:00,23267.7,23950,22550,,2024-06-13,2,9.95,17.3,,27.25
2024-06-11,0,Long,15:29:00,15:29:00,23267.7,23950,22550,,2024-06-13,2,0.05,0.05,Time Exit,-0.1
2024-06-12,1,Short,09:25:00,09:25:00,23338.6,24050,22650,,2024-06-13,1,1.8,5.95,,7.75
2024-06-12,0,Long,15:28:00,15:28:00,23338.6,24050,22650,,2024-06-13,1,0.05,0.05,Time Exit,-0.1
2024-06-13,1,Short,09:25:00,09:25:00,23427.3,24150,22750,,2024-06-13,0,0.1,1.1,,1.2000000000000002
2024-06-13,0,Long,15:29:00,15:29:00,23427.3,24150,22750,,2024-06-13,0,0.05,0.05,Time Exit,-0.1
2024-06-14,1,Short,09:25:00,09:25:00,23349.55,24050,22650,,2024-06-20,4,4.5,8.45,,12.95
2024-06-14,0,Long,15:29:00,15:29:00,23349.55,24050,22650,,2024-06-20,4,0.05,0.05,Time Exit,-0.1
2024-06-18,1,Short,09:25:00,09:25:00,23517.65,24200,22800,,2024-06-20,2,1.5,5.0,,6.5
2024-06-18,0,Long,15:29:00,15:29:00,23517.65,24200,22800,,2024-06-20,2,0.05,0.1,Time Exit,-0.15000000000000002
2024-06-19,1,Short,09:25:00,09:25:00,23597.3,24300,22900,,2024-06-20,1,0.65,2.5,,3.15
2024-06-19,0,Long,15:26:00,15:26:00,23597.3,24300,22900,,2024-06-20,1,0.05,0.05,Time Exit,-0.1
2024-06-20,1,Short,09:25:00,09:25:00,23463.4,24150,22750,,2024-06-20,0,0.6,0.5,,1.1
2024-06-20,0,Long,15:27:00,15:27:00,23463.4,24150,22750,,2024-06-20,0,0.05,0.05,Time Exit,-0.1
2024-06-21,1,Short,09:25:00,09:25:00,23598.0,24300,22900,,2024-06-27,4,3.55,10.0,,13.55
2024-06-21,0,Long,15:29:00,15:29:00,23598.0,24300,22900,,2024-06-27,4,0.05,0.05,Time Exit,-0.1
2024-06-24,1,Short,09:25:00,09:25:00,23426.35,24150,22750,,2024-06-27,3,4.0,4.9,,8.9
2024-06-24,0,Long,15:29:00,15:29:00,23426.35,24150,22750,,2024-06-27,3,0.05,0.1,Time Exit,-0.15000000000000002
2024-06-25,1,Short,09:25:00,09:25:00,23593.6,24300,22900,,2024-06-27,2,1.7,5.95,,7.65
2024-06-25,0,Long,15:29:00,15:29:00,23593.6,24300,22900,,2024-06-27,2,0.05,0.05,Time Exit,-0.1
2024-06-26,1,Short,09:25:00,09:25:00,23704.8,24400,23000,,2024-06-27,1,1.0,6.35,,7.35
2024-06-26,0,Long,15:29:00,15:29:00,23704.8,24400,23000,,2024-06-27,1,0.05,0.2,Time Exit,-0.25
2024-06-27,1,Short,09:25:00,09:25:00,23850.05,24550,23150,,2024-06-27,0,0.3,0.9,,1.2
2024-06-27,0,Long,15:29:00,15:29:00,23850.05,24550,23150,,2024-06-27,0,0.05,0.05,Time Exit,-0.1
2024-06-28,1,Short,09:25:00,09:25:00,24116.4,24800,23400,,2024-07-04,4,4.7,22.8,,27.5
2024-06-28,0,Long,15:29:00,15:29:00,24116.4,24800,23400,,2024-07-04,4,0.05,0.05,Time Exit,-0.1
2024-07-01,1,Short,09:25:00,09:25:00,24034.55,24750,23350,,2024-07-04,3,4.25,11.9,,16.15
2024-07-01,0,Long,15:29:00,15:29:00,24034.55,24750,23350,,2024-07-04,3,0.05,0.05,Time Exit,-0.1
2024-07-02,1,Short,09:25:00,09:25:00,24177.05,24950,23450,,2024-07-04,2,1.15,6.65,,7.800000000000001
2024-07-02,0,Long,15:29:00,15:29:00,24177.05,24950,23450,,2024-07-04,2,0.05,0.05,Time Exit,-0.1
2024-07-03,1,Short,09:25:00,09:25:00,24263.2,25000,23500,,2024-07-04,1,0.7,2.95,,3.6500000000000004
2024-07-03,0,Long,15:29:00,15:29:00,24263.2,25000,23500,,2024-07-04,1,0.05,0.05,Time Exit,-0.1
2024-07-04,1,Short,09:25:00,09:25:00,24349.8,25100,23600,,2024-07-04,0,0.2,0.9,,1.1
2024-07-04,0,Long,15:29:00,15:29:00,24349.8,25100,23600,,2024-07-04,0,0.05,0.05,Time Exit,-0.1
2024-07-05,1,Short,09:25:00,09:25:00,24204.35,24950,23450,,2024-07-11,4,3.9,6.55,,10.45
2024-07-05,0,Long,15:29:00,15:29:00,24204.35,24950,23450,,2024-07-11,4,0.05,0.05,Time Exit,-0.1
2024-07-08,1,Short,09:25:00,09:25:00,24330.25,25100,23600,,2024-07-11,3,1.15,4.8,,5.949999999999999
2024-07-08,0,Long,15:29:00,15:29:00,24330.25,25100,23600,,2024-07-11,3,0.05,0.05,Time Exit,-0.1
2024-07-09,1,Short,09:25:00,09:25:00,24365.5,25100,23600,,2024-07-11,2,1.25,2.5,,3.75
2024-07-09,0,Long,15:29:00,15:29:00,24365.5,25100,23600,,2024-07-11,2,0.05,0.05,Time Exit,-0.1
