Date,Position,Action,CE_Time,PE_Time,Index Value,CE_OTM,PE_OTM,Exit,ExpiryDate,DaysToExpiry,CE_OTM_Premium,PE_OTM_Premium,EXIT_TYPE,Premium
2024-06-07,1,Short,09:25:00,09:25:00,22923.4,23600,22200,,2024-06-13,4,33.45,44.55,,78.0
2024-06-07,0,Long,15:20:00,15:20:00,22923.4,23600,22200,,2024-06-13,4,82.25,17.3,Time Exit,-99.55
2024-06-10,1,Short,09:25:00,09:25:00,23385.15,24100,22700,,2024-06-13,3,19.9,32.7,,52.6
2024-06-10,0,Long,15:20:00,15:20:00,23385.15,24100,22700,,2024-06-13,3,5.0,31.7,Time Exit,-36.7
2024-06-11,1,Short,09:25:00,09:25:00,23267.7,23950,22550,,2024-06-13,2,6.55,9.7,,16.25
2024-06-11,0,Long,15:20:00,15:20:00,23267.7,23950,22550,,2024-06-13,2,2.25,4.3,Time Exit,-6.55
2024-06-12,1,Short,09:25:00,09:25:00,23338.6,24050,22650,,2024-06-13,1,1.2,3.65,,4.85
2024-06-12,0,Long,15:20:00,15:20:00,23338.6,24050,22650,,2024-06-13,1,0.6,1.4,Time Exit,-2.0
2024-06-13,1,Short,09:25:00,09:25:00,23427.3,24150,22750,,2024-06-13,0,0.3,0.6,,0.8999999999999999
2024-06-13,0,Long,15:20:00,15:20:00,23427.3,24150,22750,,2024-06-13,0,0.05,0.05,Time Exit,-0.1
2024-06-14,1,Short,09:25:00,09:25:00,23349.55,24050,22650,,2024-06-20,4,4.0,9.05,,13.05
2024-06-14,0,Long,15:20:00,15:20:00,23349.55,24050,22650,,2024-06-20,4,2.75,5.65,Time Exit,-8.4
2024-06-18,1,Short,09:25:00,09:25:00,23517.65,24200,22800,,2024-06-20,2,1.35,4.65,,6.0
2024-06-18,0,Long,15:20:00,15:20:00,23517.65,24200,22800,,2024-06-20,2,0.85,2.55,Time Exit,-3.4
2024-06-19,1,Short,09:25:00,09:25:00,23597.3,24300,22900,,2024-06-20,1,0.7,2.0,,2.7
2024-06-19,0,Long,15:20:00,15:20:00,23597.3,24300,22900,,2024-06-20,1,0.5,1.05,Time Exit,-1.55
