Date,ExpiryDate,PnL
2021-06-04,2021-06-10,558.0
2021-06-07,2021-06-10,104.25
2021-06-08,2021-06-10,59.25
2021-06-09,2021-06-10,18.000000000000057
2021-06-10,2021-06-10,130.5
2021-06-11,2021-06-17,209.25
2021-06-14,2021-06-17,273.0
2021-06-15,2021-06-17,134.25
2021-06-16,2021-06-17,44.25
2021-06-17,2021-06-17,160.5
2021-06-18,2021-06-24,145.5
2021-06-21,2021-06-24,621.75
2021-06-22,2021-06-24,104.25
2021-06-23,2021-06-24,96.75
2021-06-24,2021-06-24,119.25
2021-06-25,2021-07-01,756.75
2021-06-28,2021-07-01,100.50000000000006
2021-06-29,2021-07-01,198.00000000000006
2021-06-30,2021-07-01,78.0
2021-07-01,2021-07-01,81.75
2021-07-02,2021-07-08,325.5
2021-07-05,2021-07-08,70.5
2021-07-06,2021-07-08,33.0
2021-07-07,2021-07-08,93.0
2021-07-08,2021-07-08,96.75
2021-07-09,2021-07-15,681.75
2021-07-12,2021-07-15,160.5
2021-07-13,2021-07-15,111.74999999999994
2021-07-14,2021-07-15,100.5
2021-07-15,2021-07-15,104.25
2021-07-16,2021-07-22,138.0
2021-07-19,2021-07-22,96.75
2021-07-20,2021-07-22,33.0
2021-07-22,2021-07-22,145.5
2021-07-23,2021-07-29,36.75
2021-07-26,2021-07-29,77.99999999999994
2021-07-27,2021-07-29,29.25
2021-07-28,2021-07-29,74.25
2021-07-29,2021-07-29,149.25
2021-07-30,2021-08-05,363.0
2021-08-02,2021-08-05,33.0
2021-08-03,2021-08-05,-259.5
2021-08-04,2021-08-05,370.5
2021-08-05,2021-08-05,168.0
2021-08-06,2021-08-12,355.5000000000002
2021-08-09,2021-08-12,89.25
2021-08-10,2021-08-12,123.0
2021-08-11,2021-08-12,126.75
2021-08-12,2021-08-12,130.5
2021-08-13,2021-08-18,-128.25
2021-08-16,2021-08-18,276.75
2021-08-17,2021-08-18,141.75000000000006
2021-08-18,2021-08-18,153.0
2021-08-20,2021-08-26,460.5
2021-08-23,2021-08-26,194.25
2021-08-24,2021-08-26,123.00000000000006
2021-08-25,2021-08-26,164.25
2021-08-26,2021-08-26,96.75
2021-08-27,2021-09-02,141.75
2021-08-30,2021-09-02,-15.75
2021-08-31,2021-09-02,-87.0
2021-09-01,2021-09-02,329.25
2021-09-02,2021-09-02,179.25
2021-09-03,2021-09-09,400.5
2021-09-06,2021-09-09,374.25
2021-09-07,2021-09-09,243.0
2021-09-08,2021-09-09,164.25
2021-09-09,2021-09-09,130.5
2021-09-13,2021-09-16,310.5
2021-09-14,2021-09-16,70.5
2021-09-15,2021-09-16,36.75
2021-09-16,2021-09-16,108.0
2021-09-17,2021-09-23,-225.75
2021-09-20,2021-09-23,-1032.0
2021-09-21,2021-09-23,1158.0
2021-09-22,2021-09-23,220.5
2021-09-23,2021-09-23,141.75
2021-09-24,2021-09-30,486.75
2021-09-27,2021-09-30,130.5
2021-09-28,2021-09-30,40.5
2021-09-29,2021-09-30,434.25
2021-09-30,2021-09-30,190.5
2021-10-01,2021-10-07,1654.395
2021-10-04,2021-10-07,329.25
2021-10-05,2021-10-07,261.75
2021-10-06,2021-10-07,-120.75
2021-10-07,2021-10-07,145.5
2021-10-08,2021-10-14,550.5
2021-10-11,2021-10-14,21.75
2021-10-12,2021-10-14,205.5
2021-10-13,2021-10-14,74.25
2021-10-14,2021-10-14,156.75
2021-10-18,2021-10-21,-113.25
2021-10-19,2021-10-21,-465.75
2021-10-20,2021-10-21,490.5
2021-10-21,2021-10-21,156.75000000000003
2021-10-22,2021-10-28,-75.75
2021-10-25,2021-10-28,906.75
2021-10-26,2021-10-28,546.75
2021-10-27,2021-10-28,201.75
2021-10-28,2021-10-28,213.0
2021-10-29,2021-11-03,3373.4775
2021-11-01,2021-11-03,89.25
2021-11-02,2021-11-03,141.75
2021-11-03,2021-11-03,164.25
2021-11-08,2021-11-11,-72.0
2021-11-09,2021-11-11,284.24999999999994
2021-11-10,2021-11-11,273.0
2021-11-11,2021-11-11,141.75
2021-11-12,2021-11-18,190.50000000000023
2021-11-15,2021-11-18,-27.0
2021-11-16,2021-11-18,216.75
2021-11-17,2021-11-18,126.75
2021-11-18,2021-11-18,149.25
2021-11-22,2021-11-25,-810.75
2021-11-23,2021-11-25,858.0
2021-11-24,2021-11-25,171.75
2021-11-25,2021-11-25,209.25
2021-11-26,2021-12-02,-4393.139999999999
2021-11-29,2021-12-02,2962.1512500000003
2021-11-30,2021-12-02,-864.3000000000002
2021-12-01,2021-12-02,711.75
2021-12-02,2021-12-02,284.25
2021-12-03,2021-12-09,-1903.8449999999998
2021-12-06,2021-12-09,-1510.83
2021-12-07,2021-12-09,340.5
2021-12-08,2021-12-09,213.0
2021-12-09,2021-12-09,149.25
2021-12-10,2021-12-16,636.75
2021-12-13,2021-12-16,-777.0
2021-12-14,2021-12-16,509.25
2021-12-15,2021-12-16,126.74999999999994
2021-12-16,2021-12-16,119.25
2021-12-17,2021-12-23,-1336.755
2021-12-20,2021-12-23,353.2687500000002
2021-12-21,2021-12-23,1128.0
2021-12-22,2021-12-23,239.25
2021-12-23,2021-12-23,145.5
2021-12-24,2021-12-30,-219.7762499999999
2021-12-27,2021-12-30,-334.5
2021-12-28,2021-12-30,475.5
2021-12-29,2021-12-30,183.0
2021-12-30,2021-12-30,93.0
2021-12-31,2022-01-06,816.75
2022-01-03,2022-01-06,-308.25
2022-01-04,2022-01-06,250.5
2022-01-05,2022-01-06,153.0
2022-01-06,2022-01-06,126.75
2022-01-07,2022-01-13,415.5
2022-01-10,2022-01-13,216.75
2022-01-11,2022-01-13,325.5
2022-01-12,2022-01-13,81.75
2022-01-13,2022-01-13,93.0
2022-01-14,2022-01-20,434.2500000000002
2022-01-17,2022-01-20,216.75
2022-01-18,2022-01-20,-739.5
2022-01-19,2022-01-20,66.75
2022-01-20,2022-01-20,85.5
2022-01-21,2022-01-27,1625.7824999999998
2022-01-24,2022-01-27,-5114.63625
2022-01-25,2022-01-27,1955.65875
2022-01-27,2022-01-27,411.75000000000006
2022-01-28,2022-02-03,255.3487499999992
2022-01-31,2022-02-03,-232.2787499999995
2022-02-01,2022-02-03,5915.49
2022-02-02,2022-02-03,355.5
2022-02-03,2022-02-03,93.0
2022-02-04,2022-02-10,877.8600000000001
2022-02-07,2022-02-10,-3534.79875
2022-02-08,2022-02-10,963.0
2022-02-09,2022-02-10,389.25
2022-02-10,2022-02-10,100.5
2022-02-11,2022-02-17,283.2225000000003
2022-02-14,2022-02-17,353.3099999999995
2022-02-15,2022-02-17,-3364.785
2022-02-16,2022-02-17,393.0
2022-02-17,2022-02-17,179.25000000000003
2022-02-18,2022-02-24,2401.5150000000012
2022-02-21,2022-02-24,2142.6187499999996
2022-02-22,2022-02-24,1909.78125
2022-02-23,2022-02-24,239.25
2022-02-24,2022-02-24,933.0
2022-02-25,2022-03-03,1375.3462500000005
2022-02-28,2022-03-03,-4449.577499999999
2022-03-02,2022-03-03,3576.7687499999997
2022-03-03,2022-03-03,336.75
2022-03-04,2022-03-10,2689.0912499999995
2022-03-07,2022-03-10,363.7574999999997
2022-03-08,2022-03-10,1448.085
2022-03-09,2022-03-10,200.9437499999999
2022-03-10,2022-03-10,389.25
2022-03-11,2022-03-17,667.6087500000012
2022-03-14,2022-03-17,-1074.9450000000006
2022-03-15,2022-03-17,-1060.2037500000006
2022-03-16,2022-03-17,269.25
2022-03-17,2022-03-17,224.25
2022-03-21,2022-03-24,-1354.0349999999999
2022-03-22,2022-03-24,725.9512500000001
2022-03-23,2022-03-24,-263.2500000000002
2022-03-24,2022-03-24,198.00000000000003
2022-03-25,2022-03-31,1814.9024999999992
2022-03-28,2022-03-31,1162.34625
2022-03-29,2022-03-31,546.75
2022-03-30,2022-03-31,254.25
2022-03-31,2022-03-31,111.75
2022-04-01,2022-04-07,1244.475
2022-04-04,2022-04-07,40.5
2022-04-05,2022-04-07,389.25
2022-04-06,2022-04-07,273.0
2022-04-07,2022-04-07,93.0
2022-04-08,2022-04-13,599.2237499999999
2022-04-11,2022-04-13,453.0
2022-04-12,2022-04-13,179.25000000000006
2022-04-13,2022-04-13,63.0
2022-04-18,2022-04-21,1299.6862500000002
2022-04-19,2022-04-21,-2309.23125
2022-04-20,2022-04-21,471.75
2022-04-21,2022-04-21,96.75
2022-04-22,2022-04-28,535.5862499999998
2022-04-25,2022-04-28,355.09124999999995
2022-04-26,2022-04-28,471.75
2022-04-27,2022-04-28,198.0
2022-04-28,2022-04-28,104.25
2022-04-29,2022-05-05,-2868.5062500000004
2022-05-02,2022-05-05,1198.32375
2022-05-04,2022-05-05,-2857.5525
2022-05-05,2022-05-05,186.75
2022-05-06,2022-05-12,1066.1400000000003
2022-05-09,2022-05-12,1243.4025000000001
2022-05-10,2022-05-12,839.25
2022-05-11,2022-05-12,130.5
2022-05-12,2022-05-12,209.25
2022-05-13,2022-05-19,-197.0550000000003
2022-05-16,2022-05-19,1328.65125
2022-05-17,2022-05-19,-1037.5425
2022-05-18,2022-05-19,325.5
2022-05-19,2022-05-19,370.5
2022-05-20,2022-05-26,759.65625
2022-05-23,2022-05-26,1042.4850000000001
2022-05-24,2022-05-26,178.35374999999976
2022-05-25,2022-05-26,-315.75
2022-05-26,2022-05-26,141.75000000000003
2022-05-27,2022-06-02,1319.872499999999
2022-05-30,2022-06-02,471.75
2022-05-31,2022-06-02,276.75
2022-06-01,2022-06-02,392.99999999999994
2022-06-02,2022-06-02,138.0
2022-06-03,2022-06-09,-487.96875
2022-06-06,2022-06-09,614.25
2022-06-07,2022-06-09,378.0
2022-06-08,2022-06-09,441.75
2022-06-09,2022-06-09,111.75
2022-06-10,2022-06-16,-571.1025
2022-06-13,2022-06-16,208.1812500000001
2022-06-14,2022-06-16,733.70625
2022-06-15,2022-06-16,243.0
2022-06-16,2022-06-16,-4.5
2022-06-17,2022-06-23,1566.1762499999995
2022-06-20,2022-06-23,1988.6100000000006
2022-06-21,2022-06-23,288.0
2022-06-22,2022-06-23,228.0
